,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Segment,Drag Force,Rolling Force,Grade Force,Total Force(N),Motor Force ,Motor Power,Time (s),Energía consumida (Wh),,,,,,,
,66,229.99424,22.2486876,0,252.2429276,252.2429276,3608.405707,16.87495806,16.91435971,,,,,,,
,67,215.8442038,22.2486876,-133.4921256,104.6007658,104.6007658,1449.582516,1.161287436,0.467606101,,,,,,,
,68,202.143375,22.2486876,-44.4973752,179.8946874,179.8946874,2412.603632,2.399994035,1.608398423,,,,,,,
,69,176.08934,22.2486876,44.4973752,242.8354028,242.8354028,3039.599877,1.28571109,1.085568687,,,,,,,
,70,151.832135,22.2486876,88.9947504,263.075573,263.075573,3057.737908,5.538447773,4.704200474,,,,,,,
,71,140.3773438,22.2486876,-88.9947504,73.63128095,73.63128095,822.9031959,1.439996421,0.32916046,,,,,,,
,72,108.708215,22.2486876,-44.4973752,86.4595274,86.4595274,850.3190768,3.272719138,0.773015421,,,,,,,
,73,99.05025375,22.2486876,133.4921256,254.791067,254.791067,2391.93777,1.714281453,1.139015155,,,,,,,
,74,89.8415,22.2486876,44.4973752,156.5875628,156.5875628,1400.018081,1.799995526,0.700007301,,,,,,,
,75,81.08195375,22.2486876,-44.4973752,58.83326615,58.83326615,499.7156427,5.684196398,0.789022738,,,,,,,
,76,89.8415,22.2486876,0,112.0901876,112.0901876,1002.175949,1.799995526,0.501086729,,,,,,,
,77,108.708215,22.2486876,88.9947504,219.951653,219.951653,2163.198113,1.636359569,0.983269426,,,,,,,
,78,118.8153838,22.2486876,0,141.0640714,141.0640714,1450.409496,1.565213501,0.630611257,,,,,,,
,79,129.37176,22.2486876,-88.9947504,62.6256972,62.6256972,671.9086002,1.499996272,0.279961221,,,,,,,
,80,118.8153838,22.2486876,0,141.0640714,141.0640714,1450.409496,15.65213501,6.306112572,,,,,,,
